MARCA           EDAD  CAP  PRECIO
Speedaire       0     35   4359.77
Hankison        0     25   2474.81
Ingersoll_Rand  0     15   6285.28
Atlas_Copco     11    14   1302.74
Beko            4     50   1153.60
Kaeser          11    20   775.31
Atlas_Copco     3     63   1185.77
Atlas_Copco     18    32   655.08
